filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,Beyond Variance: Knowledge-Aware LLM Compression via Fisher-Aligned,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,Forward versus Backward: Comparing Reasoning Objectives in,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,Safeguarding LLM Fine-tuning via Push-Pull Distributional Alignment,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,CalPro: Prior-Aware Evidential–Conformal Prediction with Structure-Aware,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,LLMRouterBench: A Massive Benchmark and Unified Framework for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,SIRR-LMM: Single-image Reflection Removal via Large Multimodal Model,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,THIS PAPER HAS BEEN ACCEPTED FOR PUBLICATION IN IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE 1,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,Consolidation or Adaptation? PRISM: Disentangling SFT and RL Data via,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,Lost in the Noise: How Reasoning Models Fail with,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,DiSCo: Making Absence Visible in Intelligent Summarization Interfaces,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07232v1_Yes FLoReNce I Will Do Better Next Time Agentic Fe.pdf,"Y es FLoReNce, I Will Do Better Next Time! Agentic Feedback Reasoning for",REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07233v1_From Thinking to Justifying Aligning High-Stakes E.pdf,From “Thinking” to “Justifying”: Aligning High-Stakes Explainability,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07238v1_Group Pattern Selection Optimization Let LRMs Pick.pdf,Group Pattern Selection Optimization: Let LRMs Pick the Right Pattern,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07239v1_Stochastic CHAOS Why Deterministic Inference Kills.pdf,"Stochas(c CHAOS: Why Determinis)c Inference Kills, and Distribu(onal Variability Is the Heartbeat of Ar(ﬁcial Cogni(on",REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07245v1_Learning to Trust the Crowd A Multi-Model Consensu.pdf,Learning to Trust the Crowd: A Multi-Model,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07250v1_DDT A Dual-Masking Dual-Expert Transformer for Ene.pdf,DDT: A Dual-Masking Dual-Expert Transformer,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07261v1_Pseudodata-guided Invariant Representation Learnin.pdf,Pseudodata-guided Invariant Representation,REGEX_NER_PENDING,None,arXiv:2601.07261,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07263v1_When Bots Take the Bait Exposing and Mitigating th.pdf,When Bots Take the Bait: Exposing and Mitigating the Emerging Social Engineering,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07291v1_A Visual Semantic Adaptive Watermark grounded by P.pdf,A Visual Semantic Adaptive Watermark grounded by Prefix-Tuning for Large,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07292v1_Photometric Redshift Estimation Using Scaled Ensem.pdf,Photometric Redshift Estimation Using Scaled Ensemble Learning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07296v1_LRAS Advanced Legal Reasoning with Agentic Search.pdf,LRAS: Advanced Legal Reasoning with Agentic Search,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf,Heterogeneous Multi-Expert Reinforcement,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07309v1_ARM Role-Conditioned Neuron Transplantation for Tr.pdf,ARM: Role-Conditioned Neuron Transplantation for,REGEX_NER_PENDING,None,arXiv:2601.07309,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07313v1_Explaining Machine Learning Predictive Models thro.pdf,Explaining Machine Learning Predictive Models through Conditional,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07315v1_VLM-CAD VLM-Optimized Collaborative Agent Design W.pdf,VLM-CAD:VLM-OptimizedCollaborativeAgent,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07316v1_BEAT-Net Injecting Biomimetic Spatio-Temporal Prio.pdf,BEAT-Net: Injecting Biomimetic Spatio-Temporal,REGEX_NER_PENDING,None,arXiv:2601.07316,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07320v1_Segmental Advantage Estimation Enhancing PPO for L.pdf,Segmental Advantage Estimation: Enhancing PPO for Long-Context LLM,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,Agentic Diagnostic Reasoning over Telecom and,REGEX_NER_PENDING,None,arXiv:2601.07342,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,PulseMind: A Multi-Modal Medical Model for Real-World Clinical Diagnosis,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,Controlled Self-Evolution for Algorithmic Code Optimization,REGEX_NER_PENDING,None,arXiv:2601.07348,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,Beyond Hard Masks: Progressive Token Evolution for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,Efficient Convolutional Forward Model for Passive,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf,Seeing Right but Saying Wrong: Inter- and Intra-Layer Refinement in MLLMs,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
