filename,tps,model
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,283.57,LFM-2.5-Cold
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,332.45,LFM-2.5-Cold
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,288.34,LFM-2.5-Cold
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,340.07,LFM-2.5-Cold
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,293.0,LFM-2.5-Cold
2601.07206v1_LLMRouterBench A Massive Benchmark and Unified Fra.pdf,251.55,LFM-2.5-Cold
2601.07209v1_SIRR-LMM Single-image Reflection Removal via Large.pdf,296.79,LFM-2.5-Cold
2601.07214v1_BlindU Blind Machine Unlearning without Revealing .pdf,261.61,LFM-2.5-Cold
2601.07224v1_Consolidation or Adaptation PRISM Disentangling SF.pdf,377.7,LFM-2.5-Cold
2601.07226v1_Lost in the Noise How Reasoning Models Fail with C.pdf,286.97,LFM-2.5-Cold
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,322.57,LFM-2.5-Cold
2601.07232v1_Yes FLoReNce I Will Do Better Next Time Agentic Fe.pdf,327.04,LFM-2.5-Cold
2601.07233v1_From Thinking to Justifying Aligning High-Stakes E.pdf,297.83,LFM-2.5-Cold
2601.07238v1_Group Pattern Selection Optimization Let LRMs Pick.pdf,312.06,LFM-2.5-Cold
2601.07239v1_Stochastic CHAOS Why Deterministic Inference Kills.pdf,306.73,LFM-2.5-Cold
2601.07245v1_Learning to Trust the Crowd A Multi-Model Consensu.pdf,270.52,LFM-2.5-Cold
2601.07250v1_DDT A Dual-Masking Dual-Expert Transformer for Ene.pdf,281.22,LFM-2.5-Cold
2601.07261v1_Pseudodata-guided Invariant Representation Learnin.pdf,422.71,LFM-2.5-Cold
2601.07263v1_When Bots Take the Bait Exposing and Mitigating th.pdf,322.8,LFM-2.5-Cold
2601.07291v1_A Visual Semantic Adaptive Watermark grounded by P.pdf,198.89,LFM-2.5-Cold
2601.07292v1_Photometric Redshift Estimation Using Scaled Ensem.pdf,305.65,LFM-2.5-Cold
2601.07296v1_LRAS Advanced Legal Reasoning with Agentic Search.pdf,307.98,LFM-2.5-Cold
2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf,335.62,LFM-2.5-Cold
2601.07309v1_ARM Role-Conditioned Neuron Transplantation for Tr.pdf,361.47,LFM-2.5-Cold
2601.07313v1_Explaining Machine Learning Predictive Models thro.pdf,335.87,LFM-2.5-Cold
2601.07315v1_VLM-CAD VLM-Optimized Collaborative Agent Design W.pdf,327.78,LFM-2.5-Cold
